name,Date,Lived here...,Famous_for,Address,Hear the story,latitude,longitude,DIID,Parklane,Belgravia,
ABRAHAMS; HAROLD,(1899-1978),Olympic athlete; lived here Address: Hodford Lodge; 2 Hodford Road; NW11,Olympic athlete,"Hodford Lodge, 2 Hodford Road, London NW11",,51.584544,-0.187041,,N,N,
ADAM; Robert,(1728-1792),"Architect; Thomas HOOD (1799-1845), Poet; John GALSWORTHY (1867-1933), Novelist and Playwright; Sir James BARRIE (1860-1937), Dramatist; and other eminent artists and writers lived here. Address: 1-3 Robert Street; Adelphi; WC2",,,,51.508942,-0.122624,,N,N,
"ADELPHI TERRACE
",(XXXX),stands on the site of Kensington Wells and early 18th century spa. Former residents include Sir Edward Lloyd Richard; 1st Earl Grosvenor; Lady Mary Coke; diarist; Peter and Clementia Taylor; philanthropists; William Cleverly Alexander; art lover. Address: Aubrey House; Aubrey Walk; W8. Address: 1-3 Robert Street; Adelphi; WC2,,,,51.509027,-0.121692,,N,N,
ALDRIDGE; Ira,(1807-1867),Shakespearian Actor; 'The African Roscius'; lived here. Address: 5 Hamlet Road; Upper Norwood; SE19,,,,51.415758,-0.07296,,N,N,
ALEXANDER; Sir George,(1858-1918),Actor-Manager; lived here. Address: 57 Pont Street; SW1,,,,51.496833,-0.162293,,N,N,
ALLENBY; Field Marshal Edmund Henry Hynman; Viscount,(1861-1936),lived here 1928-1936. Address: 24 Wetherby Gardens; SW5,,,,51.492269,-0.183674,,N,N,
ALMA-TADEMA; Sir Laurance; OM,(1836-1912),Painter; lived here 1886-1912. Address: 44 Grove End Road; St John's Wood; NW8,,,,51.532832,-0.176402,,N,N,
AMBROSE; Bert,(c.1896-1971),Dance Band Leader; lived and played here; 1927-1940 Address: The May Fair Hotel; Stratton Street; W1,,,,51.50473,-0.148633,,N,N,
ARDIZZONE; Edward,(1900-1979),Artits and Illustrator; lived here 1920-1972. Address: 130 Elgin Avenue; W9,,,,51.526508,-0.193401,,N,N,
ARKWRIGHT; Sir Richard,(1732-1792),Industrialist and Inventor; lived here. Address: 8 Adam Street; WC2,,,,51.509986,-0.122657,,N,N,
ARNE; Thomas,(1710-1778),Composer; lived here. Address: 31 King Street; Covent Garden; WC2,,,,51.511534,-0.124753,,N,N,
"ARNOLD, Matthew",(1822-1888),,Poet and Critic,"2 Chester Square, SW1",https://ndiid.com/yogvCIWM-reLf39lC8dA4VJF1ahqHdbbAVeTDhYNqKM,51.496091,-0.148767,,N,N,
ARNOLD; Sir Edwin,(1832-1904),Poet and Journalist; lived and died here. Address: 31 Bolton Gardens; SW5,,,,51.490627,-0.188847,,N,N,
ASHFIELD; Albert Henry Stanley; Lord Ashfield,(1874-1948),First Chairman of London Transport; lived here. Address: 43 South Street; Mayfair; W1,,,,51.508566,-0.150464,,N,N,
ASQUITH; Herbert Henry; 1st Earl of Oxford and Asquith,(1852-1928),Statesman; lived here. Address: 20 Cavendish Square; W1,,,,51.515986,-0.145337,,N,N,
ASTAFIEVA; Princess Seraphine,(1876-1934),Ballet dancer; lived and taught here. Address: 152 King's Road; SW3,,,,51.48647,-0.171446,,N,N,
ASTOR; Nancy,(1879-1964),First woman to sit in Parliament; lived here. Address: 4 St James's Square; SW1,,,,51.505552,-0.138366,,N,N,
ATTLEE; Clement Richard,(1883-1967),Prime Minister; lived here. Address: 17 Monkhams Avenue; Woodford Green; IG8,,,,51.609192,0.031446,,N,N,
AUBREY HOUSE,XXXX),AUBREY HOUSE stands on the site of Kensington Wells and early 18th century spa. Former residents include Sir Edward Lloyd Richard; 1st Earl Grosvenor; Lady Mary Coke; diarist; Peter and Clementia Taylor; philanthropists; William Cleverly Alexander; art lover. Address: Aubrey House; Aubrey Walk; W8,,,,51.503015,-0.198267,,N,N,
AUROBINDO; Sri,(1872-1950),Indian Spiritual Leader lived here 1884-1887 Address: 49 St Stephen's Avenue; W12,,,,51.503954,-0.231788,,N,N,
AVEBURY; Baron: Sir John Lubbock,(1834-1913),Scientist; born here. Address: 29 Eaton Place; SW1,,,,51.493692,-0.154731,,N,N,
AYRTON; Hertha,(1854-1923),Physicist; lived here 1903-1923. Address: 41 Norfolk Square; W2,,,,51.516193,-0.172496,,N,N,
BADEN-POWELL; Robert,(1857-1941),Chief Scout of the World; lived here. Address: 9 Hyde Park Gate; SW7,,,,51.500457,-0.182498,,N,N,
BAGEHOT; Walter,(1826-1877),Writer; Banker and Economist; lived here. Address: 12 Upper Belgrave Street; SW1,,,,51.49632,-0.147571,,N,N,
